Series,Cluster
Reuters RCV1/RCV2 English-to-German - Cross-Lingual Document Classification benchmarking - NLP,Cluster 3
SST-5 Fine-grained classification - Sentiment Analysis benchmarking - NLP,Cluster 3
MRPC - Semantic Textual Similarity benchmarking - NLP,Cluster 3
Switchboard corpus - Dialog Act Classification benchmarking - NLP,Cluster 3
CACDVS - Age-Invariant Face Recognition benchmarking - CVP,Cluster 3
R52 - Text Classification benchmarking - NLP,Cluster 3
QNLI - Natural Language Inference benchmarking - NLP,Cluster 3
VQA v1 test-std - Visual Question Answering benchmarking - CVP,Cluster 3
SAT-4 - Satellite Image Classification benchmarking - CVP,Cluster 3
"CIFAR-10, 4000 Labels - Semi-Supervised Image Classification benchmarking - CVP",Cluster 3
Office-Home - Domain Adaptation benchmarking - CVP,Cluster 3
MNIST-to-MNIST-M - Domain Adaptation benchmarking - CVP,Cluster 3
ImageCLEF-DA - Domain Adaptation benchmarking - CVP,Cluster 3
Synth Digits-to-SVHN - Domain Adaptation benchmarking - CVP,Cluster 3
YouTube Faces DB - Face Verification benchmarking - CVP,Cluster 3
BIT - Human Interaction Recognition benchmarking - CVP,Cluster 3
CoLA - Linguistic Acceptability Assessment benchmarking - NLP,Cluster 3
UCF-to-HMDBfull - Domain Adaptation benchmarking - CVP,Cluster 3
CUB-200-2011 - Fine-Grained Image Classification benchmarking - CVP,Cluster 3
Florence 3D - Skeleton Based Action Recognition benchmarking - CVP,Cluster 3
Olympic-to-HMDBsmall - Domain Adaptation benchmarking - CVP,Cluster 3
HMDBsmall-to-UCF - Domain Adaptation benchmarking - CVP,Cluster 3
Labeled Faces in the Wild - Face Verification benchmarking - CVP,Cluster 3
MNIST - Image Classification benchmarking - CVP,Cluster 3
UT - Human Interaction Recognition benchmarking - CVP,Cluster 3
ImageNet ReaL - Image Classification benchmarking - CVP,Cluster 3
RTE - Natural Language Inference benchmarking - NLP,Cluster 3
DogCentric - Activity Recognition In Videos benchmarking - CVP,Cluster 3
CFP-FP - Face Verification benchmarking - CVP,Cluster 3
