superclass,Cluster,task_label,benchmark_label
NLP,Cluster 3,Paraphrase Identification,Quora Question Pairs
NLP,Cluster 3,Semantic Parsing,ATIS
NLP,Cluster 3,Semantic Textual Similarity,MRPC
NLP,Cluster 3,Sentiment Analysis,SST-2 Binary classification
NLP,Cluster 3,Sentiment Analysis,MPQA
NLP,Cluster 3,Sentiment Analysis,MR
NLP,Cluster 3,Sentiment Analysis,IMDb
NLP,Cluster 3,Sentiment Analysis,SST-5 Fine-grained classification
NLP,Cluster 3,Text Classification,Yahoo! Answers
NLP,Cluster 3,Text Classification,R8
NLP,Cluster 3,Text Classification,R52
NLP,Cluster 3,Visual Question Answering,MSRVTT-QA
NLP,Cluster 3,Visual Question Answering,MSVD-QA
NLP,Cluster 3,Visual Question Answering,VQA v2 test-dev
NLP,Cluster 3,Visual Question Answering,VQA v1 test-dev
NLP,Cluster 3,Visual Question Answering,VQA v1 test-std
