Benchmark,Task,Metric
Sports-1M , Action Recognition ,Video\\ hit\\-at\\-5
Sports-1M , Action Recognition ,Video\\ hit\\-at\\-1
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.5
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.4
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.3
TREC Robust04 - Ad,Hoc Information Retrieval ,P\\-at\\-20
TREC Robust04 - Ad,Hoc Information Retrieval ,MAP
UCF101 , Action Recognition ,3\\-fold\\ Accuracy
USPS , Image Clustering ,Accuracy
USPS , Image Clustering ,NMI
Urban100 - 2x upscaling - Image Super,Resolution ,PSNR
Urban100 - 4x upscaling - Image Super,Resolution ,SSIM
Urban100 - 4x upscaling - Image Super,Resolution ,PSNR
WFLW , Face Alignment ,AUC\\-at\\-0\\.1\\ \\(all\\)
WMT2014 English-French , Machine Translation ,BLEU\\ score
WMT2014 English-German , Machine Translation ,BLEU\\ score
WMT2016 English-Romanian , Machine Translation ,BLEU\\ score
WikiSQL , Code Generation ,Exact\\ Match\\ Accuracy
WikiSQL , Code Generation ,Execution\\ Accuracy
YouTube Faces DB , Face Verification ,Accuracy
cvusa - Cross-View Image-to,Image Translation ,SSIM
