level_key,l1,l2,l3,task
3D Point Cloud Linear Classification,3D Point Cloud Linear Classification,3D Point Cloud Linear Classification,3D Point Cloud Linear Classification,3D Point Cloud Linear Classification
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Image-to-image translation
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Multimodal unsupervised image-to-image translation
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Synthetic-to-real translation
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Unsupervised image-to-image translation
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Cross-view image-to-image translation
3D vision process // 3D Classification,3D vision process,3D Classification,Image-to-image translation,Fundus to angiography generation
3D vision process // 3D Depth Estimation,3D vision process,3D Depth Estimation,3D Depth Estimation,3D Depth Estimation
3D vision process // 3D Shape Representation,3D vision process,3D Shape Representation,3D Dense Shape Correspondence,3D Dense Shape Correspondence
3D vision process // 3D car instance understanding,3D vision process,3D car instance understanding,Hand gesture recognition,Skeleton based action recognition
3D vision process // 3D car instance understanding,3D vision process,3D car instance understanding,Text-to-image generation,Text-to-image generation
3D vision process // 3D car instance understanding,3D vision process,3D car instance understanding,Hand gesture recognition,Hand gesture recognition
3D vision process // 3D human action recognition,3D vision process,3D human action recognition,Skeleton based action recognition,Skeleton based action recognition
3D vision process // 3D human pose estimation,3D vision process,3D human pose estimation,3D human pose estimation,3D human pose estimation
3D vision process // 3D human pose estimation // 3D absolute human pose estimation,3D vision process,3D human pose estimation,3D absolute human pose estimation,Image super-resolution
3D vision process // 3D human pose estimation // 3D absolute human pose estimation,3D vision process,3D human pose estimation,3D absolute human pose estimation,Stereo Image Super-Resolution
3D vision process // 3D human pose estimation // 3D absolute human pose estimation,3D vision process,3D human pose estimation,3D absolute human pose estimation,Multi-frame super-resolution
3D vision process // 3D human pose estimation // 3D absolute human pose estimation,3D vision process,3D human pose estimation,3D absolute human pose estimation,Burst Image Super-Resolution
3D vision process // 3D human pose estimation // 3D absolute human pose estimation,3D vision process,3D human pose estimation,3D absolute human pose estimation,Audio super-resolution
3D vision process // 3D human pose estimation // 3D multi-person pose estimation,3D vision process,3D human pose estimation,3D multi-person pose estimation,3D multi-person pose estimation (absolute)
3D vision process // 3D human pose estimation // 3D multi-person pose estimation,3D vision process,3D human pose estimation,3D multi-person pose estimation,3D multi-person pose estimation (root-relative)
3D vision process // 3D human pose estimation // 3D multi-person pose estimation,3D vision process,3D human pose estimation,3D multi-person pose estimation,3D multi-person pose estimation
3D vision process // 3D human pose estimation // Monocular 3D human pose estimation,3D vision process,3D human pose estimation,Monocular 3D human pose estimation,Monocular 3D human pose estimation
3D vision process // 3D human pose estimation // Weakly-supervised 3D human pose estimation,3D vision process,3D human pose estimation,Weakly-supervised 3D human pose estimation,Weakly-supervised 3D human pose estimation
3D vision process // 3D human reconstruction,3D vision process,3D human reconstruction,3D human reconstruction,3D human reconstruction
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,3D room layouts from a single rgb panorama,3D room layouts from a single rgb panorama
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,3D scene reconstruction,Face hallucination
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,Unsupervised 3D Human Pose Estimation,Unsupervised 3D Human Pose Estimation
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,3D reconstruction,3D reconstruction
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,3D Semantic Scene Completion,3D Semantic Scene Completion
3D vision process // 3D reconstruction,3D vision process,3D reconstruction,3D Semantic Scene Completion,3D Semantic Scene Completion from a single RGB image
3D vision process // 3D shape classification,3D vision process,3D shape classification,3D shape classification,3D shape classification
3D vision process // 3D shape reconstruction,3D vision process,3D shape reconstruction,Image super-resolution,Image super-resolution
3D vision process // 3D shape reconstruction,3D vision process,3D shape reconstruction,Image super-resolution,Stereo Image Super-Resolution
3D vision process // 3D shape reconstruction,3D vision process,3D shape reconstruction,Image super-resolution,Multi-frame super-resolution
3D vision process // 3D shape reconstruction,3D vision process,3D shape reconstruction,Image super-resolution,Audio super-resolution
3D vision process // 3D shape reconstruction,3D vision process,3D shape reconstruction,Image super-resolution,Burst Image Super-Resolution
3D vision process // Motion forecasting,3D vision process,Motion forecasting,Motion forecasting,Motion forecasting
Action detection,Action detection,Skeleton based action recognition,Skeleton based action recognition,Skeleton based action recognition
Action detection,Action detection,Online Action Detection,Online Action Detection,Online Action Detection
Action detection,Action detection,Audio-visual active speaker detection,Audio-visual active speaker detection,Audio-visual active speaker detection
Action detection,Action detection,Action detection,Action detection,Action detection
Action localization // Action segmentation,Action localization,Action segmentation,Action segmentation,Action segmentation
Action localization // Action segmentation,Action localization,Action segmentation,Weakly Supervised Action Segmentation (Transcript),Weakly Supervised Action Segmentation (Transcript)
Action localization // Temporal action localization,Action localization,Temporal action localization,Temporal action localization,Temporal action localization
